team,played,win_rate,avg_gf,avg_ga
Morocco,591,0.48223350253807107,1.4602368866328257,0.8240270727580372
Mozambique,363,0.3168044077134986,1.0385674931129476,1.278236914600551
Myanmar,506,0.41106719367588934,1.6027667984189724,1.6422924901185771
Namibia,271,0.25461254612546125,0.988929889298893,1.4095940959409594
Nepal,261,0.2413793103448276,0.8620689655172413,2.2720306513409962
Netherlands,867,0.5132641291810842,2.086505190311419,1.231833910034602
New Caledonia,263,0.5133079847908745,2.6463878326996197,1.3992395437262357
New Zealand,404,0.4207920792079208,1.7821782178217822,1.495049504950495
Nicaragua,210,0.23333333333333334,1.0809523809523809,2.433333333333333
Niger,248,0.22983870967741934,0.9758064516129032,1.6370967741935485
Nigeria,641,0.4664586583463339,1.5101404056162246,1.0078003120124805
Niue,2,0.0,0.0,16.5
North Korea,388,0.4175257731958763,1.6134020618556701,1.1082474226804124
North Macedonia,294,0.3163265306122449,1.2074829931972788,1.336734693877551
North Vietnam,24,0.2916666666666667,2.0416666666666665,2.1666666666666665
Northern Cyprus,34,0.5882352941176471,2.8823529411764706,0.9117647058823529
Northern Ireland,695,0.2589928057553957,1.0489208633093525,1.8446043165467625
Northern Mariana Islands,30,0.13333333333333333,0.9,4.3
Norway,860,0.37209302325581395,1.5302325581395348,1.6372093023255814
Occitania,33,0.5757575757575758,3.121212121212121,1.1515151515151516
Oman,532,0.38345864661654133,1.3045112781954886,1.2575187969924813
Orkney,24,0.25,1.1666666666666667,3.2083333333333335
Padania,45,0.6666666666666666,2.688888888888889,0.8
Pakistan,244,0.21311475409836064,0.9344262295081968,2.3360655737704916
Palau,2,0.0,2.0,10.5
Palestine,238,0.3025210084033613,1.365546218487395,1.415966386554622
Panama,520,0.3326923076923077,1.2365384615384616,1.5403846153846155
Panjab,19,0.47368421052631576,2.8421052631578947,1.5789473684210527
Papua New Guinea,152,0.32894736842105265,2.1776315789473686,2.039473684210526
Paraguay,772,0.34974093264248707,1.2810880829015545,1.4287564766839378
Parishes of Jersey,3,0.6666666666666666,3.6666666666666665,1.3333333333333333
Peru,703,0.32716927453769556,1.2105263157894737,1.395448079658606
Philippines,336,0.2619047619047619,1.1666666666666667,2.300595238095238
Poland,880,0.42954545454545456,1.6806818181818182,1.3477272727272727
Portugal,683,0.4992679355783309,1.752562225475842,1.1215226939970717
Provence,23,0.34782608695652173,3.1739130434782608,2.5652173913043477
Puerto Rico,156,0.24358974358974358,1.2564102564102564,2.371794871794872
Qatar,622,0.41479099678456594,1.4228295819935692,1.2009646302250805
Quebec,3,0.6666666666666666,8.0,0.6666666666666666
